id_dòng_xe,Dòng xe
1,Bán tải / Pickup
2,Convertible/Cabriolet
3,Coupe
4,Crossover
5,Hatchback
6,SUV
7,Sedan
8,Truck
9,Van/Minivan
10,Wagon
