id_màu_nội_thất,Màu nội thất
1,Bạc
2,Cam
3,Cát
4,Ghi
5,Hồng
6,Kem
7,Không rõ
8,Màu khác
9,Nhiều màu
10,Nâu
11,Trắng
12,Tím
13,Vàng
14,Xanh
15,Xám
16,Đen
17,Đỏ
18,Đồng
